Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
18.000000	18	27.434614	47.244179	-54.292428	29.277932	-53.941465	3.462752	-23.377178	2.699363	2.432603	2.038656	1.448347	1.064129	0.735478	0.386071	0.154005	0.133885	0.061566	0.053162	5.933410	3.585051	0.198702	-0.137790	0.087547	0.050038	0.032325	0.019882	0.415615	-0.084121	0.013672	0.383654	0.083273	4486.535591	1314.363897	49993.289454	2207.063956	-49997.181400	1564.200295	49382.136475	-595.277914	-49384.647344	2559.430351	-597.573088	1792.213943	1224.301700	-861.441873	-49115.446240	0.679951
19.000000	18	27.990051	47.265542	-54.277169	29.277932	-53.956725	3.661571	-23.117771	2.905162	2.539219	2.188987	1.566347	1.150167	0.810249	0.439631	0.207275	0.154409	0.086524	0.061463	6.160592	3.874034	0.190303	-0.133555	0.090058	0.054103	0.030659	0.019035	0.415615	-0.085787	0.015338	0.371943	0.079957	4507.634751	1329.621626	49993.289454	2202.542708	-49997.181400	1555.045658	49382.136475	-598.329460	-49384.647344	2560.956124	-608.122668	1784.585079	1219.780452	-866.019192	-49115.446240	0.679951
20.000000	18	28.525651	47.276223	-54.292428	29.288614	-53.926206	3.893525	-22.904141	3.110960	2.752452	2.296367	1.673620	1.257714	0.885019	0.503903	0.207275	0.191351	0.136441	0.082216	6.387774	4.215561	0.194503	-0.128474	0.090894	0.058169	0.031492	0.019035	0.414798	-0.089118	0.009508	0.371106	0.078298	4491.056840	1344.879355	49993.289454	2193.500211	-49997.181400	1545.891021	49382.136475	-610.535643	-49384.647344	2562.481897	-611.136834	1776.956214	1222.794617	-876.699602	-49115.446240	0.679951
21.000000	18	29.021577	47.281564	-54.246651	29.277932	-53.956725	4.125480	-22.652364	3.213860	2.837745	2.382270	1.791619	1.311488	0.949108	0.557463	0.239237	0.191351	0.161399	0.094668	6.791654	4.504544	0.192403	-0.125933	0.093405	0.059795	0.031492	0.019035	0.413164	-0.094115	0.012839	0.372779	0.078298	4492.563922	1363.188629	49993.289454	2187.471879	-49997.181400	1532.159065	49382.136475	-613.587189	-49384.647344	2553.327259	-615.658082	1770.853123	1221.287535	-878.225375	-49115.446240	0.679951
22.000000	18	29.616688	47.297586	-54.261910	29.288614	-53.910947	4.324299	-22.408216	3.556857	3.072302	2.597029	1.888165	1.419035	1.066604	0.589599	0.292507	0.228294	0.178037	0.098818	7.018836	4.740986	0.196602	-0.120852	0.096752	0.063047	0.039824	0.019882	0.412347	-0.100778	-0.019642	0.373616	0.073323	4494.071005	1379.972131	49993.289454	2182.950631	-49997.181400	1523.004428	49382.136475	-618.164507	-49384.647344	2556.378805	-623.193497	1758.646940	1228.822949	-881.276921	-49115.446240	0.679951
23.000000	18	30.191961	47.313608	-54.292428	29.288614	-53.971984	4.556253	-22.148808	3.659756	3.221565	2.639981	2.006165	1.505073	1.120011	0.664583	0.345777	0.252922	0.182197	0.090517	7.271261	5.082512	0.198702	-0.117464	0.098426	0.066299	0.043156	0.022423	0.411530	-0.104110	-0.019642	0.371106	0.072494	4474.478928	1404.384497	49993.289454	2175.415216	-49997.181400	1515.375563	49382.136475	-625.793372	-49384.647344	2553.327259	-630.728911	1746.440757	1221.287535	-893.483104	-49115.446240	0.679951
24.000000	18	30.826746	47.318949	-54.261910	29.299295	-53.941465	4.821344	-21.881771	3.831255	3.370828	2.854739	2.091983	1.601866	1.184100	0.718143	0.367085	0.281656	0.194676	0.102969	7.624655	5.266411	0.198702	-0.113230	0.101773	0.066299	0.040657	0.024116	0.416432	-0.105775	-0.020475	0.368597	0.073323	4472.971845	1422.693772	49993.289454	2164.865636	-49997.181400	1504.695153	49382.136475	-639.525328	-49384.647344	2553.327259	-633.743077	1735.760347	1219.780452	-904.163514	-49115.446240	0.679951
25.000000	18	31.322672	47.345653	-54.246651	29.283273	-53.941465	5.053299	-21.637623	4.071353	3.498767	2.983595	2.274346	1.677149	1.258871	0.771703	0.399047	0.285760	0.207155	0.119571	7.927565	5.607937	0.194503	-0.108996	0.101773	0.071990	0.039824	0.021576	0.421334	-0.111605	-0.018809	0.346847	0.070836	4418.716863	1434.899955	49993.289454	2158.837305	-49997.181400	1487.911651	49382.136475	-645.628419	-49384.647344	2553.327259	-639.771408	1725.079936	1221.287535	-908.740833	-49115.446240	0.679951
26.000000	18	31.897946	47.345653	-54.292428	29.293954	-53.956725	5.301822	-21.370586	4.174253	3.754647	3.069498	2.349437	1.773941	1.322960	0.835975	0.420355	0.302179	0.211315	0.127872	8.104262	5.896921	0.196602	-0.105608	0.103447	0.071177	0.043990	0.024963	0.422151	-0.118268	-0.020475	0.347684	0.067519	4376.518543	1453.209229	49993.289454	2154.316056	-49997.181400	1484.860106	49382.136475	-642.576873	-49384.647344	2553.327259	-645.799739	1715.925299	1221.287535	-917.895470	-49115.446240	0.679951
27.000000	18	32.473220	47.356334	-54.246651	29.304636	-53.956725	5.484072	-21.126438	4.380051	3.818616	3.241305	2.467437	1.859979	1.419093	0.846687	0.452317	0.322703	0.227953	0.136173	8.432415	6.185904	0.196602	-0.101374	0.105957	0.074429	0.053987	0.025810	0.421334	-0.122432	-0.019642	0.346011	0.066690	4329.798974	1476.095822	49993.289454	2145.273559	-49997.181400	1466.550831	49382.136475	-654.783057	-49384.647344	2553.327259	-650.320988	1711.347980	1216.766286	-920.947016	-49115.446240	0.679951
28.000000	18	33.008820	47.361675	-54.246651	29.309977	-53.926206	5.716027	-20.897549	4.517250	3.989203	3.305733	2.553255	1.946017	1.472500	0.943095	0.505587	0.351436	0.244592	0.140323	8.609112	6.422346	0.198702	-0.099680	0.106794	0.079307	0.049822	0.031738	0.422151	-0.124098	-0.056287	0.343501	0.064202	4310.206897	1489.827778	49993.289454	2140.752311	-49997.181400	1457.396194	49382.136475	-663.937694	-49384.647344	2551.801486	-654.842237	1696.090252	1216.766286	-934.678972	-49115.446240	0.679951
29.000000	18	33.623768	47.377697	-54.261910	29.299295	-53.941465	5.931413	-20.653401	4.757348	4.138466	3.499016	2.649800	2.032054	1.547271	0.975231	0.526895	0.376065	0.261231	0.136173	8.735324	6.737601	0.196602	-0.096292	0.108468	0.080120	0.049822	0.030892	0.422151	-0.134092	-0.056287	0.346011	0.059227	4516.677248	1515.765917	49993.289454	2134.723979	-49997.181400	1446.715784	49382.136475	-673.092331	-49384.647344	2553.327259	-663.884734	1685.409841	1218.273369	-937.730517	-49115.446240	0.679951
