Time	Run	Horizontal Disp	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	mm	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	1	2	3	4	5	6	7	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
18.000000	3	-0.640889	0.357067	47.260201	-54.246651	28.081606	-53.956725	-0.033136	-0.034300	0.021323	0.042952	0.053636	0.021509	0.000000	0.010712	0.021308	-0.008209	0.004160	0.012452	0.000000	-0.078814	0.002100	-0.002541	-0.001674	-0.001626	-0.001666	0.001694	0.001634	-0.004164	0.001666	-0.000837	-0.000829	-3.299714	2.833978	-0.676473	-8.000511	-2.419820	1.415502	-0.235506	-1.642021	-1.928028	2.798220	3.064176	-6.988176	-4.438861	1.707522	0.125871	0.000000
19.000000	3	-0.648518	0.357067	47.254860	-54.246651	28.081606	-53.941465	-0.082841	0.000000	0.021323	0.042952	0.032182	0.010755	-0.010681	0.032136	0.000000	-0.008209	0.000000	0.012452	-0.025242	-0.052542	-0.004199	-0.000847	0.000837	0.001626	-0.001666	-0.000847	-0.000817	-0.004164	0.000833	-0.000837	-0.000829	-1.792632	-0.217568	5.426619	-6.493428	-6.997138	1.415502	-0.235506	2.935297	-3.435111	-4.830644	1.557094	-5.462403	-4.438861	1.707522	-2.871895	0.000000
20.000000	3	-0.656148	0.376904	47.265542	-54.261910	28.076266	-53.926206	-0.033136	-0.034300	0.000000	0.021476	0.010727	0.032264	-0.010681	0.032136	0.021308	0.000000	0.004160	0.012452	-0.025242	-0.052542	-0.004199	-0.000847	-0.000837	0.000000	-0.001666	0.000847	-0.001634	-0.004164	0.003331	0.000000	-0.001658	1.221534	-1.743340	5.426619	-4.986346	-6.997138	1.415502	-0.235506	2.935297	2.593221	2.798220	3.064176	-8.513948	-1.424695	-4.395569	0.125871	0.000000
21.000000	3	-0.648518	0.396741	47.254860	-54.277169	28.086947	-53.941465	-0.016568	0.000000	-0.021323	0.021476	0.032182	0.000000	-0.010681	0.000000	0.000000	0.004105	0.000000	0.008301	-0.025242	-0.052542	-0.002100	-0.001694	0.000837	0.000813	-0.002499	0.000847	0.000817	-0.002499	0.000833	0.000000	0.000000	-0.285549	2.833978	3.900846	-1.972180	-5.471365	1.415502	2.778660	1.409525	1.086138	-6.356417	0.050011	-0.885084	-7.453026	-1.344024	0.125871	0.000000
22.000000	3	-0.656148	0.337230	47.260201	-54.261910	28.086947	-53.926206	0.000000	0.034300	0.000000	0.042952	0.021455	0.010755	0.000000	0.021424	0.010654	0.000000	0.012479	0.012452	-0.025242	-0.052542	-0.004199	0.000847	-0.000837	-0.000813	0.000000	0.000000	0.001634	-0.003331	0.002499	-0.002510	0.000000	-1.792632	-4.794886	6.952392	-3.479263	-8.522911	1.415502	-1.742589	2.935297	-3.435111	1.272448	-4.471238	-5.462403	-1.424695	-4.395569	0.125871	0.000000
23.000000	3	-0.656148	0.357067	47.254860	-54.246651	28.076266	-53.941465	-0.033136	0.034300	0.021323	0.021476	0.042909	-0.021509	0.010681	0.021424	0.000000	-0.012314	0.000000	0.012452	-0.100970	-0.026271	-0.002100	-0.002541	0.000837	0.000000	-0.001666	0.000000	0.002451	-0.004997	0.002499	-0.000837	0.000000	-4.806797	4.359751	2.375073	-8.000511	-2.419820	-1.636043	1.271577	2.935297	-3.435111	-0.253325	1.557094	-6.988176	-4.438861	-1.344024	1.624754	0.000000
24.000000	3	-0.648518	0.357067	47.260201	-54.261910	28.076266	-53.971984	-0.049705	-0.034300	0.000000	0.021476	0.042909	0.000000	-0.021363	0.032136	0.000000	-0.004105	-0.004160	0.008301	-0.100970	-0.105085	-0.002100	-0.000847	0.000837	-0.001626	-0.002499	0.000000	0.000000	-0.003331	0.002499	-0.000837	0.000829	-1.792632	-3.269113	5.426619	-11.014677	-10.048684	-0.110271	4.285743	-3.167794	-4.942193	-0.253325	1.557094	0.640689	1.589471	-1.344024	0.125871	0.000000
25.000000	3	-0.633259	0.297555	47.260201	-54.246651	28.086947	-53.941465	-0.066273	0.000000	0.000000	0.021476	0.042909	0.021509	0.010681	0.032136	-0.010654	0.000000	-0.004160	0.008301	-0.025242	-0.105085	-0.004199	-0.000847	0.000837	0.001626	-0.002499	0.000000	-0.000817	-0.004997	0.000833	-0.000837	-0.000829	1.221534	4.359751	2.375073	-3.479263	-0.894047	-0.110271	1.271577	1.409525	-1.928028	-6.356417	-1.457072	-3.936630	-1.424695	1.707522	-5.869660	0.000000
26.000000	3	-0.656148	0.376904	47.265542	-54.246651	28.086947	-53.956725	-0.016568	0.034300	0.000000	0.021476	0.042909	0.010755	-0.010681	0.021424	0.000000	0.004105	0.008319	0.004151	0.000000	-0.105085	-0.004199	-0.000847	0.000837	0.000000	-0.003333	0.000000	-0.003268	-0.003331	0.002499	0.000000	-0.001658	-1.792632	-6.320659	2.375073	-3.479263	-0.894047	-3.161816	-0.235506	1.409525	-3.435111	-3.304871	0.050011	-3.936630	0.082388	-4.395569	0.125871	0.000000
27.000000	3	-0.648518	0.396741	47.254860	-54.216132	28.070925	-53.941465	-0.016568	-0.034300	-0.063970	0.042952	0.021455	0.021509	0.000000	0.032136	0.000000	-0.004105	-0.004160	0.008301	-0.050485	-0.078814	0.004199	0.000000	0.000837	-0.000813	-0.004166	-0.000847	-0.002451	-0.002499	0.000000	-0.002510	-0.000829	-4.806797	-1.743340	3.900846	-1.972180	-3.945592	-0.110271	-1.742589	-1.642021	-1.928028	-3.304871	-4.471238	-8.513948	-7.453026	-1.344024	-5.869660	0.000000
28.000000	3	-0.640889	0.396741	47.254860	-54.185614	28.092288	-53.926206	-0.016568	0.000000	0.000000	0.021476	0.010727	0.000000	0.000000	0.042848	0.010654	0.000000	0.000000	0.016602	-0.050485	-0.078814	-0.002100	-0.001694	0.000000	0.000000	-0.003333	-0.001694	-0.002451	-0.004997	0.000833	-0.001673	0.000829	-6.313880	1.308205	-0.676473	-6.493428	-2.419820	2.941275	4.285743	-0.116248	-0.420945	-3.304871	-4.471238	-2.410857	-4.438861	-1.344024	-1.373012	0.000000
